Alleged deployer of AI system,risk_domain,Entity,Intent,deployer_category,developer_category,frequency,year,month,log_expected_loss
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,8,5.228972390475821
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,3,5.228972390475821
"[""california-bar's-committee-of-bar-examiners""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,regulated_corporation,101,2020,12,2.9883393951165784
"[""tiktok""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,12,5.537957874467922
"[""tiktok""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,12,5.537957874467922
"[""university-of-texas-at-austin's-department-of-computer-science""]",1. Discrimination and Toxicity,Human,Intentional,academic_lab,academic_lab,32,2012,12,3.8632556531810835
"[""brand-safety-tech-firms""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,freelancer_or_individual,76,2020,12,4.064508274010254
"[""israeli-tax-authority""]","7. AI system safety, failures, and limitations",AI,Intentional,public_agency,public_agency,101,2021,1,4.5356481905260555
"[""university-of-illinois""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,regulated_corporation,32,2020,1,2.506844628347424
"[""amazon""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,1,5.358791362346466
"[""university-of-toronto""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,regulated_corporation,32,2020,6,2.506844628347424
"[""instagram""]","7. AI system safety, failures, and limitations",Human,Intentional,regulated_corporation,regulated_corporation,364,2021,2,5.228972390475821
"[""facebook"",""instagram""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,2,5.537957874467922
"[""facebook"",""twitter""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,2,5.537957874467922
"[""youtube""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,6,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,7,5.228972390475821
"[""allen-institute-for-ai""]","7. AI system safety, failures, and limitations",AI,Unintentional,academic_lab,academic_lab,32,2021,10,3.5586897390554655
"[""zillow""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,11,5.228972390475821
"[""natural-cycles""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,unregulated_startup,76,2018,7,3.774347910310237
"[""pony.ai""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,unregulated_startup,364,2021,10,0.3575483612357528
"[""softbank""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,7,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,12,5.228972390475821
"[""us-department-of-justice""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,public_agency,101,2022,1,4.84361050004615
"[""google-maps""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,12,5.228972390475821
"[""amazon""]",5. Human-Computer Interaction,Human,Intentional,regulated_corporation,regulated_corporation,364,2022,2,5.202311628313143
"[""amazon""]",5. Human-Computer Interaction,Human,Unintentional,regulated_corporation,regulated_corporation,364,2021,3,5.202311628313143
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,3,5.228972390475821
"[""amazon""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,12,5.228972390475821
"[""facebook""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,4,5.537957874467922
"[""ets""]","7. AI system safety, failures, and limitations",Human,Intentional,unregulated_startup,open_source_community,76,2014,1,4.16087218965069
"[""facebook""]",1. Discrimination and Toxicity,Human,Intentional,regulated_corporation,regulated_corporation,364,2021,11,5.537957874467922
"[""facebook""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,10,5.358791362346466
"[""duke-researchers""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,academic_lab,32,2020,6,3.8632556531810835
"[""giggle""]",1. Discrimination and Toxicity,Human,Intentional,unregulated_startup,unregulated_startup,76,2020,2,4.079971702480274
"[""michal-kosinski"",""yilun-wang""]",2. Privacy & Security,Human,Intentional,academic_lab,academic_lab,32,2017,9,3.9474530173269353
"[""facebook"",""linkedin"",""youtube"",""twitter"",""netflix""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,3,5.537957874467922
"[""facebook"",""meta""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,8,5.537957874467922
"[""target""]",2. Privacy & Security,AI,Intentional,unregulated_startup,unregulated_startup,76,2003,6,4.164408841230285
"[""appriss"",""narxcare"",""avertd""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,7,5.228972390475821
"[""cruise""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,4,5.228972390475821
"[""oregon-state-university""]","7. AI system safety, failures, and limitations",AI,Unintentional,academic_lab,unregulated_startup,32,2022,3,3.242262626065278
"[""google-docs""]",5. Human-Computer Interaction,AI,Intentional,regulated_corporation,regulated_corporation,364,2022,4,5.202311628313143
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,4,5.228972390475821
"[""openai""]",1. Discrimination and Toxicity,AI,Intentional,regulated_corporation,regulated_corporation,364,2022,4,5.537957874467922
"[""malaysian-judiciary"",""malaysian-courts""]",5. Human-Computer Interaction,Human,Intentional,public_agency,public_agency,101,2020,2,4.509091375065256
"[""cruise""]","7. AI system safety, failures, and limitations",Human,Unintentional,regulated_corporation,regulated_corporation,364,2022,2,5.228972390475821
"[""cruise""]","7. AI system safety, failures, and limitations",Human,Unintentional,regulated_corporation,regulated_corporation,364,2018,6,5.228972390475821
"[""airbnb""]",1. Discrimination and Toxicity,AI,Intentional,regulated_corporation,regulated_corporation,364,2017,7,5.537957874467922
"[""companhia-do-metropolitano-de-sao-paulo""]",2. Privacy & Security,Human,Intentional,public_agency,unregulated_startup,101,2018,4,4.589541433641435
"[""tiktok""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,3,5.358791362346466
"[""spanish-ministry-of-interior""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,public_agency,101,2007,7,4.5356481905260555
"[""salta-city-government""]",1. Discrimination and Toxicity,Human,Intentional,public_agency,regulated_corporation,101,2018,4,2.9883393951165784
"[""uk-department-of-work-and-pensions""]",1. Discrimination and Toxicity,Human,Intentional,public_agency,regulated_corporation,101,2019,10,2.9883393951165784
"[""bytedance""]",2. Privacy & Security,Human,Intentional,regulated_corporation,regulated_corporation,364,2017,1,5.6231548999827705
"[""estee-lauder""]",5. Human-Computer Interaction,AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,3,5.202311628313143
"[""target""]",2. Privacy & Security,Human,Unintentional,unregulated_startup,regulated_corporation,76,2013,11,1.871329978736919
"[""pakistan-national-database-and-registration-authority""]",5. Human-Computer Interaction,Human,Intentional,public_agency,public_agency,101,2013,9,4.509091375065256
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,10,5.228972390475821
"[""ever-ai""]",2. Privacy & Security,Human,Intentional,unregulated_startup,unregulated_startup,76,2019,4,4.164408841230285
"[""extinction-rebellion-belgium""]",3. Misinformation,Human,Intentional,open_source_community,freelancer_or_individual,7,2020,4,2.1498785021862408
"[""uber""]","7. AI system safety, failures, and limitations",AI,Intentional,regulated_corporation,regulated_corporation,364,2022,2,5.228972390475821
"[""zhihu""]",2. Privacy & Security,Human,Intentional,regulated_corporation,regulated_corporation,364,2022,2,5.6231548999827705
"[""tinder""]",1. Discrimination and Toxicity,AI,Intentional,unregulated_startup,regulated_corporation,76,2015,3,1.7956682427651083
"[""honolulu-police-department""]",5. Human-Computer Interaction,Human,Intentional,public_agency,regulated_corporation,101,2021,1,2.6658839053470507
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,5,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Intentional,regulated_corporation,regulated_corporation,364,2020,10,5.228972390475821
"[""taxis-g7""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,12,5.228972390475821
"[""xpeng-motors""]",2. Privacy & Security,Human,Intentional,regulated_corporation,freelancer_or_individual,364,2021,1,4.664353859988363
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,7,5.228972390475821
"[""lockport-city-school-district""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,unregulated_startup,101,2020,1,4.504761472425569
"[""facebook""]","7. AI system safety, failures, and limitations",Human,Intentional,regulated_corporation,regulated_corporation,364,2020,4,5.228972390475821
"[""wechat""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,10,5.537957874467922
"[""evolver""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,open_source_community,76,2016,11,4.16087218965069
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,6,5.228972390475821
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,11,5.228972390475821
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2022,3,5.228972390475821
"[""satria-technologies""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,regulated_corporation,76,2020,7,1.7956682427651083
"[""hive-box""]",2. Privacy & Security,Human,Intentional,unregulated_startup,open_source_community,76,2019,10,4.552658995650061
"[""wechat-pay""]",2. Privacy & Security,Human,Intentional,regulated_corporation,regulated_corporation,364,2020,7,5.6231548999827705
"[""jupiter-hospital"",""memorial-sloan-kettering""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,4,5.228972390475821
"[""waze""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,4,5.228972390475821
"[""waze""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,1,5.228972390475821
"[""apple""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,2,5.228972390475821
"[""youtube""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,4,5.537957874467922
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,3,5.228972390475821
